Coeffs,Feature
667591.1653731373,"Energy_source_-Gas,-Öl,-Strom-"
625624.6845580952,"Energy_source_-Fernwärme,-Nahwärme,-KWK-fossil-"
593094.7520709252,"Energy_source_-Solar,-Gas,-Öl,-Holz-"
378027.8453303085,"Energy_source_-Solar,-Öl,-Strom,-KWK-fossil-"
333574.2111905966,"Energy_source_-Erdwärme,-Gas-"
332987.91113498155,"Energy_source_-Gas,-Öl,-Holz-"
306673.4434120612,State_Berlin
254803.8476255136,"Energy_source_-Holzpellets,-Gas-"
239843.6278473418,State_Hamburg
232791.09845537719,"Energy_source_-Erdgas-schwer,-Holz-"
226516.0587553096,Furnishing_quality_luxus
224396.8675727833,"Energy_source_-Erdwärme,-Holzpellets-"
214416.52125056024,State_Bayern
201815.30841670194,"Energy_source_-Holzpellets,-Gas,-Öl-"
200033.11011495697,"Energy_source_-Solar,-Strom,-Bioenergie-"
199078.0266150774,Type_Villa
197947.13012103908,"Energy_source_-Gas,-Strom,-Holz-"
189476.22649720518,Condition_as-new
183512.19350317397,"Energy_source_-Gas,-Wasserenergie-"
172193.7620433361,"Energy_source_-Erdwärme,-Solar,-Holzpellets,-Holz-"
160307.22985021066,"Energy_source_-Gas,-Öl,-Kohle,-Holz-"
154984.12574892325,Energy_source_-Wärmelieferung-
148641.75635830566,"Energy_source_-Solar,-Holz-"
137356.02121940645,State_Baden-Württemberg
136464.54099359608,"Energy_source_-Gas,-Kohle,-Holz-"
125865.3029475024,Energy_source_-Bioenergie-
107545.41872122907,"Energy_source_-Erdwärme,-Solar,-Umweltwärme-"
93957.99287196955,"Energy_source_-Gas,-Holz-Hackschnitzel-"
88475.09367853629,"Energy_source_-Fernwärme,-Bioenergie-"
87382.65330477811,State_Hessen
86651.80595366476,Energy_source_-Solar-
80052.32776676421,Energy_source_-Erdwärme-
75478.71286729487,Heating_electric-heating
74125.55222697309,Heating_oil-heating
74039.40058668361,Energy_source_-Fernwärme-
73340.10991308096,Condition_first-occupation
72218.07418198255,Heating_district-heating
67854.74194040918,Garagetype_Underground-parking-lot
66703.99720959323,"Energy_source_-Gas,-Strom-"
60635.591334299614,Energy_source_-Erdgas-leicht-
60330.988334489375,Type_Bungalow
58733.78556446,"Energy_source_-Solar,-Holzpellets-"
58706.74776567403,"Energy_source_-Solar,-Gas-"
56156.74374317846,"Energy_source_-Kohle,-Holz-"
53428.98480767285,"Energy_source_-Strom,-Kohle,-Holz-"
52864.48852687461,"Energy_source_-Solar,-Holzpellets,-Strom-"
49104.28324750167,"Energy_source_-Solar,-Gas,-Strom,-Holz-"
33390.89592868151,"Energy_source_-Gas,-Öl-"
31745.854369256263,"Energy_source_-Öl,-Fernwärme-"
30954.89718423548,Energy_source_-Erdgas-schwer-
30596.151917888623,Condition_dilapidated
30300.69921064373,Energy_source_-Gas-
28785.03918467554,State_Brandenburg
27542.468163406655,Energy_source_-Umweltwärme-
26048.503254237454,Bathrooms
23326.79129205225,Energy_source_-KWK-fossil-
22812.133214521527,Garagetype_Duplex-lot
21501.405459475238,Floors
18674.76754167509,"Energy_source_-Solar,-Umweltwärme-"
16273.530303776912,Type_Special-property
15426.153838731729,Energy_source_-Kohle/Koks-
10794.422320341764,Energy_certificate_not-required-by-law
7181.525988715957,Condition_fixer-upper
5641.830353897294,Energy_certificate_available
4341.2053818634195,Energy_source_-Kohle-
3679.555553806794,State_Bremen
3095.0388861306274,Heating_central-heating
2929.5706612712456,State_Nordrhein-Westfalen
2742.232877402549,Energy_source_-Fernwärme-Dampf-
2447.939869140316,Heating_solar-heating
2141.438842946036,Heating_night-storage-heater
2030.2993106174654,Heating_heat-pump
1478.4490807785712,Living_space
1106.0289061011572,Year_built
611.2859699612309,Garages
14.810919983153916,Lot
2.6193447411060333e-10,"Energy_source_-Holzpellets,-Holz-Hackschnitzel-"
1.382431946694851e-10,"Energy_source_-Gas,-Öl,-Kohle-"
-3.383320290595293e-10,"Energy_source_-Erdwärme,-Fernwärme-"
-1.2470991350710392e-08,Type_Castle
-475.4762508606955,"Energy_source_-Solar,-Öl-"
-1092.358285026225,"Energy_source_-Solar,-Holz-Hackschnitzel-"
-1273.1216939245662,"Energy_source_-Öl,-Umweltwärme-"
-2031.4699040201003,Type_Residential-property
-2214.107616044449,State_Schleswig-Holstein
-2854.989934256931,Heating_stove-heating
-4359.689899556452,Garagetype_Garage
-6613.4712251806,"Energy_source_-Strom,-Holz-Hackschnitzel-"
-7750.855097331449,Garagetype_Carport
-7812.390237189213,"Energy_source_-Solar,-Gas,-Wasserenergie-"
-7962.185149784293,"Energy_source_-Fernwärme,-Flüssiggas-"
-8488.467133002083,Rooms
-8692.965726167819,Garagetype_Parking-lot
-9390.922053609778,"Energy_source_-Öl,-Kohle,-Holz-"
-10677.891658308727,Energy_source_-Holzpellets-
